azimuth_deg,elev_deg,dist_km,height_m_amsl,lat,lon
45.6,0.9214,14.880,1004.7,-23.34039,-46.37825
45.7,0.9381,14.840,1008.3,-23.34081,-46.37835
45.8,0.9520,14.820,1011.5,-23.34110,-46.37831
45.9,0.9229,14.800,1003.6,-23.34140,-46.37828
46.0,0.9119,14.920,1003.0,-23.34081,-46.37725
46.1,0.8992,14.940,1000.0,-23.34086,-46.37693
46.2,0.8755,14.960,994.2,-23.34090,-46.37662
46.3,0.8521,14.960,988.1,-23.34107,-46.37644
46.4,0.8390,14.980,985.0,-23.34112,-46.37612
46.5,0.8203,14.960,979.8,-23.34141,-46.37609
46.6,0.8196,14.580,973.4,-23.34393,-46.37861
